,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
0,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,G,N,N,100,N,N
1,AACBR,Artius II Acquisition Inc. - Rights,G,N,N,100,N,N
2,AACBU,Artius II Acquisition Inc. - Units,G,N,N,100,N,N
3,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",S,N,N,100,N,N
4,AADR,AdvisorShares Dorsey Wright ADR ETF,G,N,N,100,Y,N
5,AAEQ,Alpha Architect US Equity 2 ETF,G,N,N,100,Y,N
6,AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100,N,N
7,AALG,Leverage Shares 2X Long AAL Daily ETF,G,N,N,100,Y,N
8,AAME,Atlantic American Corporation - Common Stock,G,N,N,100,N,N
9,AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100,N,N
10,AAON,"AAON, Inc. - Common Stock",Q,N,N,100,N,N
11,AAPB,GraniteShares 2x Long AAPL Daily ETF,G,N,N,100,Y,N
12,AAPD,Direxion Daily AAPL Bear 1X Shares,G,N,N,100,Y,N
13,AAPG,Ascentage Pharma Group International - American Depository Shares,G,N,N,100,N,N
14,AAPL,Apple Inc. - Common Stock,Q,N,N,100,N,N
15,AAPU,Direxion Daily AAPL Bull 2X Shares,G,N,N,100,Y,N
16,AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N
17,AAUS,Alpha Architect US Equity ETF,G,N,N,100,Y,N
18,AAVM,Alpha Architect Global Factor Equity ETF,G,N,N,100,Y,N
19,AAXJ,iShares MSCI All Country Asia ex Japan ETF,G,N,N,100,Y,N
20,ABAT,American Battery Technology Company - Common Stock,S,N,N,100,N,N
21,ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,100,N,N
22,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,G,N,N,100,Y,N
23,ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,100,N,N
24,ABI,VictoryShares Pioneer Asset-Based Income ETF,G,N,N,100,Y,N
25,ABIG,Argent Large Cap ETF,G,N,N,100,Y,N
26,ABLV,Able View Global Inc. - Class B Ordinary Shares,S,N,D,100,N,N
27,ABLVW,Able View Global Inc. - Warrant,S,N,N,100,N,N
28,ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,100,N,N
29,ABNG,Leverage Shares 2x Long ABNB Daily ETF,G,N,N,100,Y,N
30,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N
31,ABP,"Abpro Holdings, Inc - Common Stock",S,N,N,100,N,N
32,ABPWW,"Abpro Holdings, Inc - Warrant",S,N,N,100,N,N
33,ABSI,Absci Corporation - Common Stock,Q,N,N,100,N,N
34,ABTC,American Bitcoin Corp. - Class A Common Stock,S,N,N,100,N,N
35,ABTS,Abits Group Inc - Ordinary Shares,S,N,N,100,N,N
36,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100,N,N
